file,total_chars,preview_chars,is_truncated,preview_text
RSA Aneby 2017 Maskad.pdf,67591,1000,True,"1 
 
 
Risk - och sårbarhetsanalys för  
Aneby kommun  
 
Enligt föreskriften om kommuners och landstings 
risk- och sårbarhetsanalyser, MSBFS 2015:5  
 
 
Fastställd av kommunfullmäktige 2017-03-27 § 23 
 

2 
 
Innehåll 
1. BESKRIVNING AV KOMMUNEN OCH DESS GEOGRAFISKA OMRÅDE ............ 5 
1:1 Historik 5 
1.2 Vägar 6 
1.3 Järnväg 6 
1.4 Elförsörjning 6 
1:5 Så här styrs Aneby kommun 6 
2. BESKRIVNING AV ARBETSPROCESS OCH METOD .............................................. 7 
3. IDENTIFIERAD SAMHÄLLSVIKTIG VERKSAMHET INOM KOMMUNENS 
GEOGRAFISKA OMRÅDE ................................................................................................. 8 
Viktiga samhällsfunktioner per samhällssektor 8 
4. IDENTIFIERADE KRITISKA BEROENDEN FÖR KOMMUNENS 
SAMHÄLLSVIKTIGA VERKSAMHET ............................................................................ 11 
 
Identifierade kritiska beroenden 11  
5. IDENTIFIERADE OCH ANALYSERADE RISKER FÖR KOMMUNEN OCH 
KOMMUNENS GEOGRAFISKA OMRÅDE ..."
RSA Aneby 2023 Maskad.pdf,85282,1000,True,"  
 
Risk- och sårbarhetsanalys 
för Aneby kommun 
Enligt föreskriften om kommuners risk- 
och sårbarhetsanalyser MSBFS 2015:5 
 
2023 
2023-10-18 

2 
 
Innehåll 
I. Beskrivning av kommunen och dess geografiska område ______________________ 5 
Historik _______________________________________________________________________________ 5 
Vägar _________________________________________________________________________________ 6 
Järnväg _______________________________________________________________________________ 6 
Elförsörjning ___________________________________________________________________________ 6 
Så här styrs Aneby kommun ______________________________________________________________ 6 
2. Beskrivning av arbetsprocess och metod ______________________________________ 7 
De metoder som använts i arbetet med risk- och sårbarhetsanalysen _____________________ 8 
3. Identifierad samhällsviktig verksamhet inom kommunens geografiska område ______ 10 
Viktiga samhällsfunktioner per sam"
RSA Arboga 2019.pdf,66685,1000,True,"Zz
-=
>
>
3
<
(Ö
3
Xx
<

Arboga kommun 2019-2022

Antagen av kommunstyrelsen 2019-10-08 $ 154



Innehåll

1 Inledning 5
2 - Arbetsprocess och metod 6
2.1 — Beskrivning av KOMMU... eesmsseisseressersresirsresressrsrisirsrrssrersrrnnnnnn 6
2.2 Identifiering av samhällsviktig verksamhet .........eesimomumiusiessmemn 6
2.3 Övergripande kritiska resurser för kommunens samhällsviktiga
Verksamheter s..sesssessresssrsssressrrsnrrnsrersernsrrrs rens erar rens rren ren r ers er nn ren brer ren nerna 7
2.4 — Riskidentifieriftg.....sesesesssssressrssrrsrrsssrsrasrrsrensresrrsrarerrsrn enn ren rese rn rn sens renen nen 7
25 RISKONAlYS över sssnsnsasvss es smsa 7
2.6 — ÅtgärdsföÖrSlag i... 8
2.7 — Övriga kommentarer s..weZsmmissssmmmsmsusmmuussmusmmmsssssssmunn 8
2.8 — SeKLeteSSsossesseeseessressrssrensrersressrrnssronsrensrerssrensranerrrs rann rrn ren serna ene rr ren Sr KR rek serna 9
3 - Beskrivning av kommunen och dess geografiska område 10
3.1 Kommunens organisation inkl. bolag och förbundssa"
RSA Arboga 2023.pdf,80532,1000,True,"2
=
2
>
3
<
(&
Q
0
Be.
<

Arboga kommun 2023-2026

Antagen av kommunstyrelsen 2023-09-26 8 162



Innehåll

1 Inledning 5
2 - Arbetsprocess och metod 6
2.1 — Beskrivning av KOD... essensen 6
2.2 Identifiering av samhällsviktig verksamhet ..........mmsmmimsmsm 6
2.3 - Övergripande kritiska resurser för kommunens samhällsviktiga
VETKSAMNClET svssasrnsnsassvonsessnsssossasnansennsasisnniadsikarsnnrensnnnrannrnenersnnsnessrsren sexenncnn 6
2.4 — Riskidentifierifig....esmssassssssssrrssrrrssrresserrossnrrsssrrnsrrrnnsrrrnrrrnnsrrnnsrnn nerna ronne 7
2.5 — RiskanalyS mosssssssssersossssrsrraanonsssrrsrrrrssrrrrersrrsssnsrrrerennrssrrr enn nns ser er er nn nn rn rr nn sena snar 7
2.6 Åtgärdsförslag kNRNKANER NE ANNSEKSNA OKRNUNAR SKR ANKAN KEN NGA KOESSVETINESTERSN ESEEESNESA TENNESSEE SKINNET 8
2.7 SEKreteSS oosseessresssrresssersseresssrressrrssrerssrrnererrrns renas sren ns rrn seen ser AR Ren An rr A RNE R Nonan 8
3 - Beskrivning av kommunen och dess geografiska område 9
3.1 - Kommunens o"
RSA Arjeplog 2015 Maskad.pdf,24858,1000,True,"ARJEPLOGS
KOMMUN

ÅOHOLYRVT BOMMUVINNA

Risk- och sårbarhetsanalys

2015-2018

Arjeplogs kommun

Fastställd av Kommunfullmäktige 2015-10-26, & 93.


NN ARJEPLOGS

KOMMUN

Pergo team Risk- och sårbarhetsanalys 2015-2018
Innehåll

Varför en risk- och sårbarhetsanalys? 2
Syfte och mål 3
Arbetsprocess och metod 3
Översiktlig risk- och sårbarhetsanalys 4
Kommunen och dess geografiska område 5
Arjeplogs kommunorganisation 6

Samhällsviktig verksamhet inom Arjeplogs kommun 7
Identifiering av samhällsviktig verksamhet 8
Kritiska beroenden för samhällsviktig verksamhet 9

Hot, risker och sårbarheter inom Arjeplogs kommun 10
Översiktlig bild över hot och risker 10
Översiktlig beskrivning av kommunens hot, risker och sårbarheter 10
Identifierade sårbarheter och brister 19

Åtgärder och uppföljning 19
Inrikta säkerhetsarbetet med tydliga mål 19
Behov av åtgärder 20
Uppföljning 20

Rapportering 21

Sammanfattning 21

Bilaga 1

Risk- och sårbarhetsanalys för Arjeplogs kommun

VARFÖR EN RISK OPCH SÅR"
RSA Arjeplog 2019 Maskad.pdf,54779,1000,True,"Risk- och sårbarhetsanalys
2019 - 2022

Dokumenttyp Dokumentnamn Fastställd/upprättad Beslutsinstans Giltighetstid

- Risk- och 2019-12-20 Kommunchef 2019 — 2022
sårbarhetsanalys

Dokumentansvarig Version Senast reviderad Dokumentinformation | Detta dokument gäller

Kommunchef 1.0 Dnr för Politik och

förvaltning



Arjeplog 2019-12-20

Peter Andersson
Kommunchef


Innehåll

Sammanfattnilg ....msmssessrssrsersrrerrerresresrerrsrrsrerrer rer rs reses re rer ere KAR ARKA KRKA RAR RR R ARKA R RAR RAA Ren Rene sn ren ken nanna 1
Tabell 1: Områden med kritiska beroenden i Arjeplogs KOMMUN s..ssssesseessesserssersresrrnsensensnnnnnn nn 1
Begrepp OCh termer ..smmsssrssssrersreeresrerersrsrsrereresrererrsrrr renen r enes r er esr ses e ARR en AR eR nen A REAR en AA RK Reser nn en en enn nn rot 3
1 Kommunen och dess geografiska Område ....s.sessersrsrrsresrsrsrsrrsrrrsrrsrrsrernrrreren rer eren ense reser ennen rn nen 5
1.1 Kommunens ansvarsområden och uppgifter ..............sesseresessesrrsre"
RSA Arjeplog 2023 Maskad.pdf,57955,1000,True,"Risk- och sårbarhetsanalys
2023 - 2026

Dokumenttyp Dokumentnamn Fastställd/upprättad Beslutsinstans Giltighetstid

- Risk- och 2019-12-20 Kommunchef 2023 — 2026
sårbarhetsanalys

Dokumentansvarig Version Senast reviderad Dokumentinformation | Detta dokument gäller

Kommunchef 1.1 2023-03-29 Dnr för Politik och

förvaltning



Anna Kaltenegger
Tillförordnad Kommunchef


Innehåll

SammanfattniNg .....msssesresrerrsresrerrerererererrsrererrerrsresrsr ere rese ser ere ser RAR KARA RAR RAR AREAN R RR ARR RSKR RAR An ARR AR KKR Rene nen 1
Tabell 1: Områden med kritiska beroenden i Arjeplogs KOMMUN s.sssmssseeseseermsssrmrmmssmmssmsns 1
Begrepp OCh termer s...esesererssresesrersrsrsrsesrsrrsrrsenrsrsr er enes r seen ers en ran er ene rer RAR R AREA RAR AKER ER KAR RR Re ARR enn enn enn 3
1 Kommunen och dess geografiska Område ...........ssssesrsrssrsersresrerenrrrrsrsrsrerserrsrenr sne nns res nn renen aren nr nn 5
1.1 Kommunens ansvarsområden och uppgifter .............ssessssseresresresrss"
RSA Arvidsjaur 2015 Maskad.pdf,19783,1000,True,"Arvidsjaurs kommun Risk- och sårbarhetsanalys 2015-2018

om Mp ad hag
och sårbarhetsanalys

för Arvidsjaurs kommun:

Antagen av kommunfullmäktige 2015-06-23 & 121


Arvidsjaurs kommun Risk- och sårbarhetsanalys 2015-2018

INNEHÅLL

Varför en risk- och sårbarhetsanalys? 1
Syfte och mål 2
Arbetsprocess och metod 2
Översiktlig risk- och sårbarhetsanalys 3
Kommunen och dess geografiska område 4
Arvidsjaurs kommunorganisation (2

Samhällsviktig verksamhet inom Arvidsjaurs kommun 7
Identifiering av samhällsviktig verksamhet 7
Kritiska beroenden för samhällsviktig verksamhet 9. SEE

Hot, risker och sårbarheter inom Arvidsjaurs KOMM Ul 10
Översiktlig bild över hot och risker 10 ,
, 26 Översiktlig beskrivning av kommunens:höt, risker och 1 särbafhiter 1085
19 SEGER | FR Särbarbeteror och brister gör ;

-Inrikta säkerhetsatrbet
Behov av atgärgd ER a

j | Hnoneng2 of

pronening, 20. É få ARG
FT Säninånfanning, Är FR /

ä
så ”

Bilaga 1 | | |
Lid än TE a för Arvidsjaurs kommuni



Krisberedskap
J "
RSA Arvidsjaur 2019 Maskad.pdf,22821,1000,True,"Krisberedskap
Arvidsjaurs kommun / Arviesjävrien kommuvdna

Risk- och sårbarhetsanalys 2019-2022 för Arvidsjaurs
kommun

Antagen av kommunfullm

äktige 2018-06-18 4 86

Risk- och sårbarhetsanalys
2019 - 2022

för Arvidsjaurs kommun

Dokumentnamn Dokumenttyp Fastställd/upprättad Beslutsinstans
Styrande dokument 2018-06-18 Kommunfullmäktige
Dokumentansvarig Giltig till

Kommunfullmäktige Tills vidare

Dokumentinformation Dnr 132/2018

Van


ON
G
ÅN IN
FR

Krisberedskap
Arvidsjaurs kommun / Arviesjävrien kommuvdna

kommun

Antagen av kommunfullmäktige 2018-06-18 8 86

Innehåll
Varför en risk och sårbarhetsanalyS? sw... 2
Syfte OCh Mål s.ssssnssennrsessresssann nns ennen sanna renen rr nnn AA eR OR RRRRA RER HARRER ARR MAGEN u ner NASSER 3
Arbetsprocess Och mMetOC.,......esesmsuasemeeemmassemeseummmumesesmmemmanmemen 3
Översiktlig risk- och sårbarhetsanalyS w......emseeesmeacusemesssumaseemsssimesmemmmmmmes 4
Kommunen och dess geografiska OMråde s..n.eamsesemummsesiueseememusamememeseseme "
RSA Arvidsjaur 2023 Maskad.pdf,7356,1000,True,"RISK- OCH
SÅRBARHETSANALYS
2023
mARVlDSJAURS KOMMUN
Dokumentnamn Dokumenttyp FaststäIld/upprättad Beslutsinstans li_
Styrande  dokument Riktlinjer 2023-10-25 Kommunchef s,;B,,,,L
Dokumentansvarig Giltig  till
SamhälIsbyggnadskontoret Tills  vidare
Dokumentinformation Dnr 252/2023

Anridsjaurs  kommun  / Årviesjåvrien  kommuvdna
Risk-  och  sårbarhetsanalys  2023
Sida  2 av 13
Fastställd  av komrnunchef  2023-10-25
Innehål1sförteckning
Varför  eti  tisk-  och  såtbathetsanalys?.
1.  Arvidsjaurs  kommun  och  dess  geografiska  område
2. Process  och  metod..
3.  Identifietad  samhällsviktig  verksamhet.
4.  Identifietade  kritiska  betoenden.
5. Identifietade  och  analysetade  risker  för  kommunen  och  det  geogtafiska  omtådet.....................  7
6.  Identifierade  och  analyserade  risker  föt  kommunen  och  det  geogtafiska  området...................  10
7. Behov  av åtgärder  på  kort  och  lång  sikt

Arvidsjaurs  kommun  / Åiyiesjåvrien  kommuvdna
Risk-  och  sårbarhetsan"
RSA Arvika 2015 Maskad.pdf,41884,1000,True,"BJ ARVIKA KOMMUN

SEKRETESS

Sakretesa ortigt !3 tag 28 offtartfigheto-
och oskrutsetiagen (2508:-450)

Arvika kommun

SEKRETESS

gekrutonn oritgt |3 kap: /38 offoniigheta-
och esirstseslagen (2008:400)

Arvika kommun

Risk- och sårbarhetsanalys

Arvika kommun 2015


Risk- och sårbarhetsanalys för Arvika kommun

Risk- och sårbarhetsanalysen för Arvika kommun är genomför av

ne VR RR

| 2231T2SNI2
| Sonen g 4 kyla sor

Alice Lundgren, 4C Strategies

Anders Sjöberg, Kommunledningsstaben
Anna Nordahl, Räddningstjänsten i
Bo Axelsson, Arvika Teknik AB

Bo Koppfeldt, Arvika Teknik 48 =
Catarina Bernau, Milj  ätäberiya He strrist
Elin Dahlgren, Räddningstj jästen =
Henrik Ericsson, Arvika Teknik AB
Håkan Gund, Kommunledningsstaben
Ida Andersson, Räddningstjänsten

Jan- Erik Lundberg, Räddningstjänsten
Jan Vikner, Kommunledningsstaben

Diarienummer: KS 2015/773-100
Antagen av kommunfullmäktige: 2015-08-31

Johan Mossberg, Lärande och stöd

Kjell Åke Holdar, Lärande och stöd
Kristin Norrgård, "
RSA Arvika 2019 Maskad.pdf,54858,1000,True," 
 
 
 
Diarienummer: 2019/888 
 
 
 
 
 
 
 
 
 
Risk- och 
sårbarhetsanalys 
Arvika kommun 2019-2022 
  

2 
 
Innehåll 
Sammanfattning ........................................................................................................... 5 
Begreppsförklaring ....................................................................................................... 6 
1. Inledning ............................................................................................................... 11 
1.1 Syfte ............................................................................................................. 11 
1.2 Mål .............................................................................................................. 11 
1.3 Avgränsningar .............................................................................................. 11 
1.4 Fastställande och uppföljning ....................................................................... 11 
2. Beskrivning av komm"
RSA Arvika 2023 Maskad.pdf,42997,1000,True,"  
  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Risk- och sårbarhetsanalys 2023–2026 
Arvika kommun 
 
  

 
 
Sammanfattning 
 
Sveriges kommuner ska analysera vilka extraordinära händelser i fredstid som kan inträffa i 
kommunen och hur dessa händelser påverkar kommunens verksamhet. Grunden i risk- och 
sårbarhetsanalysen (RSA) är att kartlägga risker och sårbarheter för att kommunen ska ha kännedom 
om den förmåga som krävs, för att säkerställa att kommunens samhällsviktiga verksamhet kan 
fortsätta bedriva sin verksamhet även i kris. Analysen bidrar också till att belysa kommunens 
sårbarheter och brister i förmågan att hantera risker. Här bedöms möjliga konsekvenser på liv och 
hälsa, samhällets funktionalitet, grundläggande värden som demokrati och rättssäkerhet, påverkan 
på egendom och miljö, samt hur det påverkar samhällsviktig verksamhet i kommunens geografiska 
område. Här bedöms också klimatpåverkan vilken osäkerhet som finns i bedömningarna samt vilka 
sannolikhetsbedömningar som görs"
RSA Askersund 2015.pdf,149349,1000,True," 
 
 
 
 
Risk- och 
sårbarhetsanalys 
för Askersunds kommun 
 
 
 
 
  
 
 
 
 
 
Sammanställt av: 
Jessica Kärrlander, Nerikes Brandkår   2015-08-26 
 


 
KS § 173 - 2015 
 
  
Antagen och reviderad  
Detta dokument är författat och genomgånget av säkerhetskoordinator samt kommunens 
ledningsgrupp under sommaren 2015. Dokumentet följs upp årligen och vart 4:e år sker en 
större revidering. 
 
Sammanfattning 
Askersund har under åren varit förskonad från större samhällsstörningar, men det finns en 
medvetenhet om risker och sårbarheter och det bedrivs ett kontinuerligt förebyggande arbete 
gällande krisberedskaps- och säkerhetsfrågor. Dessa frågor belyser åtgärder före, under och 
efter en samhällsstörning. Detta arbete är en del utav det som gör Askersund till en trygg och 
säker kommun att leva i. Samhällsstörningar är företeelser och händelser som hotar eller 
skadar det som ska skyddas i samhället. Det kan handla om att väldigt många människor 
drabbas eller att en händelse får s"
RSA Askersund 2019.pdf,121520,1000,True," 
 
 
 
 
Risk- och 
sårbarhetsanalys 
för Askersunds kommun 
 
 
2019-11-05 
 
 
 
 
  
 
 
 
 
 
 
 
            
www.askersund.se
Page 1 of 53

 
 
 
  
Sammanfattning 
Askersund har under åren varit förskonad från större samhällsstörningar, men det finns en 
medvetenhet om risker och sårbarheter och det bedrivs ett kontinuerligt förebyggande arbete 
gällande krisberedskaps- och säkerhetsfrågor. Dessa frågor belyser åtgärder före, under och 
efter en samhällsstörning. Detta arbete är en del utav det som gör Askersund till en trygg och 
säker kommun att leva i. Samhällsstörningar är företeelser och händelser som hotar eller 
skadar det som ska skyddas i samhället. Det kan handla om att väldigt många människor 
drabbas eller att en händelse får så stora konsekvenser att samhället inte fungerar som det ska. 
Ibland används också begreppet extraordinär händelse. En sådan kan definieras som en 
händelse som: 
• avviker från det normala 
• innebär en allvarlig störning eller överhängande "
RSA Askersund 2023 Maskad.pdf,105631,1000,True," 
 
 
 
 
 
Risk- och sårbarhetsanalys 
Askersunds kommun 
2023–2026  
 
 
 
 
  
Program Plan Policy Riktlinje 
Beslutad av: Kommunstyrelsen 
Datum och paragraf: 2023-10-03, § 187 
Dokumentansvarig: Krisberedskapssamordnaren 
Revisionsdatum: 
Dnr: 23KS140 
 

 
  Sida 2 av 53 
 
  
 
Innehåll 
 
Sammanfattning ....................................................................................................................................... 4 
Begrepp och termer .................................................................................................................................. 5 
1. Beskrivning av kommunen och dess geografiska område ................................................................... 7 
1.1 Kommunens ansvarsområde och uppgifter .................................................................................... 7 
1.1.1 Krisledningsnämnd.............................................................................................................. 7 
1."
RSA Älmhult 2015.pdf,55139,1000,True," 
 
 
 
Risk- och sårbarhetsanalys 
2015-2018 
 
 
 
 
 
 
   
 


2 av 33 
2015-10-16 
 
Innehållsförteckning 
Sammanfattning ............................................................................................................................ 3 
Inledning ....................................................................................................................................... 4 
1. Älmhults kommun ................................................................................................................ 4 
1.1. Ansvar före-, under- och efter en kris ............................................................................ 6 
1.2. Krissamverkan Kronoberg (länsnivå) ............................................................................. 7 
1.3. Älmhults kommuns krisorganisation .............................................................................. 8 
2. Arbetsprocess och metod ...................................................................."
RSA Älmhult 2019 Maskad.pdf,67383,1000,True,"Älmhults
Zl kommun 2019-09-05 1(42)

Tekniska förvaltningen
Håkan Helgesson
0476-55090
hakan.helgesson(Qalmhult.se

SEKRETESS

Risk- & Sårbarhetsanalys

Risk- & sårbarhetsanalys för
Almhults kommun 2019 - 2022

Dnr KS 2019/115

Dokumentinformation

Fastställt av Kommunstyrelsen, 2019-10-15, 8189
Gäller från och med 2019-10-31

Implementeras av Älmhults kommun

Framtagen av Håkan Helgesson, Kris- & Beredskapsstrateg, Tekniska
förvalningen


Äl mhults Risk-& Sårbarhetsanalys
Zl kommun 2019-09-05 2(42)

SAMMANFATTNING

Älmhults kommun har tagit fram en risk- och sårbarhetsanalys för kommunen
och dess geografiska område i syfte att stärka sin egen och samhällets
krisberedskap.

Inför årets risk- & sårbarhetsanalys har ett länsgemensamt arbete tillsammans
med Länsstyrelsen i Kronobergs län, beredskapssamordnarna i länets övriga
kommuner samt Region Kronoberg genomförts i syfte att arbeta fram ett mer
enhetligt arbetssätt. Samma aktörer har även tillsammans bedömt de hot och
risker som ident"
