filename,file_type,method_attempted,error_message
RSA Arjeplog 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vansbro 2015.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Sundybyberg 2019 maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Gnosjö 2019.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Nacka 2019.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vara 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Sjöbo 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Trollhättan 2015.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Sorsele 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Rättvik 2015.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Tidaholm 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Mölndal 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Gällivare 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Åtvidaberg 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Motala 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Salem 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Säffle 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Essunga 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Älmhult 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Skurup 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vellinge 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Österåker 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Robertsfors 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Helsingborg 2023.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Åtvidaberg 2011 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Gnosjö 2023.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Grästorp 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Eda 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Salem 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Valdermarvik 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Övertorneå 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Robertsfors 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Skurup 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Södertälje 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Österåker 2023.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Munkfors 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Enköping 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Karlstad 2023.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Arvika 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Nordanstig 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Tomelilla 2019.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Sigtuna 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Arvidsjaur 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Ale 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Torsby 2023.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vansbro 2019.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA NässjöVetlanda 2014.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Nordanstig 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Härnösand 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Sollentuna 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Sigtuna 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Simrishamn 2015.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Mariestad 2023.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vårgårda 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vilhelmina 2015.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Eskilstuna 2024.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Övertorneå 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vaxholm 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Söderköping 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vellinge 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Skurup 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Arboga 2019.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Motala 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Essunga 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vellinge 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Österåker 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Söderköping 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Valdermarvik 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Grästorp 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Värmdö 2015.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Sala 2019.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vara 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Åtvidaberg 2023.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Arjeplog 2023 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Herrljunga 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Sjöbo 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Tidaholm 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Mölndal 2015 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Arboga 2023.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Nora 2012 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Vaxholm 2015.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Arjeplog 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Jönköping 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
RSA Håbo 2019 Maskad.pdf,pdf,all_failed,All extraction methods failed or produced <500 chars
